MW,FaultType,Rjb,VS30,PGA
3.6,Yanal Atımlı,26.35,365.0,0.0035550599835196843
3.6,Yanal Atımlı,141.7,1188.0,7.271586511951846e-05
3.6,Yanal Atımlı,45.81,698.72,0.0015578841737092428
3.6,Yanal Atımlı,22.45,335.43,0.0062740765964095745
3.6,Yanal Atımlı,43.55,760.0,0.0011009034053924849
3.6,Yanal Atımlı,113.45,419.0,0.0005495160240496905
3.6,Yanal Atımlı,42.9,414.77,0.003238150099597179
3.6,Yanal Atımlı,113.71,416.52,7.671239426585512e-05
3.6,Yanal Atımlı,10.87,388.68,0.006361821393852903
3.6,Yanal Atımlı,127.27,786.0,0.00015332555607220212
3.6,Yanal Atımlı,115.76,465.0,0.00030788964838883426
3.6,Yanal Atımlı,122.88,763.0,0.00029491941411704316
3.6,Yanal Atımlı,45.79,699.0,0.0004066516837936983
3.6,Yanal Atımlı,24.38,462.66,0.0019485800587786097
6.6,Yanal Atımlı,158.32,342.7,0.02451399211123313
3.6,Yanal Atımlı,93.23,704.1,0.0011507524162163816
3.6,Yanal Atımlı,34.92,360.0,0.002826995558218196
3.6,Yanal Atımlı,30.3,355.87,0.003356860909257564
3.6,Yanal Atımlı,57.43,1131.0,0.0023975546897084285
3.6,Yanal Atımlı,99.17,750.25,8.955058463505418e-05
3.6,Yanal Atımlı,174.01,827.0,0.0002268538051153209
3.6,Yanal Atımlı,147.66,489.62,0.00020881259014192608
3.6,Yanal Atımlı,62.78,302.09,0.00030167580406696525
3.6,Yanal Atımlı,46.15,440.67,0.0015436234593509909
3.6,Yanal Atımlı,188.86,482.0,5.073176126303916e-05
3.6,Yanal Atımlı,31.91,393.0,0.0016169779191682798
3.6,Yanal Atımlı,203.9,819.0,4.7595742110403105e-05
3.6,Yanal Atımlı,45.34,374.5,0.0015765897460687547
3.6,Yanal Atımlı,57.54,405.0,0.0016699800538205838
3.6,Yanal Atımlı,40.49,342.64,0.005265068480002108
3.6,Yanal Atımlı,61.51,760.0,3.766595468921503e-05
4.11,Yanal Atımlı,128.17,511.0,0.0020039269451649203
4.11,Yanal Atımlı,50.39,524.0,0.0021371301219170395
4.11,Yanal Atımlı,59.7,619.0,0.006314598146604721
4.11,Yanal Atımlı,61.95,681.24,6.010283817757694e-05
4.11,Yanal Atımlı,119.8,477.0,0.0007833762965976058
4.11,Yanal Atımlı,114.53,611.0,0.002095326132306131
4.11,Yanal Atımlı,125.64,559.0,0.000799920445970004
4.11,Yanal Atımlı,85.89,655.67,0.004379699213253397
4.11,Yanal Atımlı,61.89,682.03,0.0011307329154667163
4.11,Yanal Atımlı,176.17,401.0,0.0006283206631005063
3.81,Yanal Atımlı,49.33,511.0,0.0024635252340891698
3.81,Yanal Atımlı,115.05,796.0,0.0002698308746256069
3.81,Yanal Atımlı,107.32,763.0,5.5414704338920726e-05
3.81,Yanal Atımlı,32.0,619.0,0.004354232201963504
3.81,Yanal Atımlı,218.29,927.0,4.138020627715623e-05
3.81,Yanal Atımlı,98.06,576.04,0.0006938289553289197
3.81,Yanal Atımlı,52.14,805.0,0.0014291441633258032
3.81,Yanal Atımlı,88.24,559.0,0.0011187621716942883
3.81,Yanal Atımlı,167.67,981.0,3.246370878689002e-05
3.81,Yanal Atımlı,106.87,622.32,0.0009934029887748727
3.81,Yanal Atımlı,29.2,655.67,0.0022439441274985546
3.81,Yanal Atımlı,138.82,1188.0,7.474299432655879e-05
3.81,Yanal Atımlı,143.83,698.72,0.0004559713193490244
3.81,Yanal Atımlı,69.91,763.0,0.0006603398209356528
3.81,Yanal Atımlı,86.87,704.1,0.0009385806793156251
3.81,Yanal Atımlı,46.39,503.0,0.00038347769823438233
3.81,Yanal Atımlı,66.45,827.0,0.0017422523997893359
3.74,Ters Oblik Atımlı,127.86,347.0,0.00022040535044072775
3.74,Ters Oblik Atımlı,53.06,310.0,0.000621674192662684
3.74,Ters Oblik Atımlı,123.69,378.0,0.0002572559496874076
3.74,Ters Oblik Atımlı,74.77,303.0,0.0005767642590970595
3.74,Ters Oblik Atımlı,318.9,308.0,4.116928038428653e-05
3.74,Ters Oblik Atımlı,95.03,355.87,0.00017903140084493557
3.74,Ters Oblik Atımlı,99.48,384.0,0.0004961331708554166
3.74,Ters Oblik Atımlı,67.52,351.22,0.00033275159441108616
3.72,Yanal Atımlı,73.97,361.0,0.001340190091255416
3.72,Yanal Atımlı,106.04,499.0,0.0010650443292315724
3.72,Yanal Atımlı,75.14,511.0,0.0006266288590106347
3.72,Yanal Atımlı,98.78,796.0,0.0001942832389587172
3.72,Yanal Atımlı,151.16,356.0,0.00021860934985139588
3.72,Yanal Atımlı,81.53,763.0,0.00045496008656796473
3.72,Yanal Atımlı,157.86,1029.0,3.6010302497063255e-05
3.72,Yanal Atımlı,38.33,619.0,0.0027833245271833753
3.72,Yanal Atımlı,77.39,210.25,0.0009575519325990106
3.72,Yanal Atımlı,60.46,370.0,0.0009896548298482355
3.72,Yanal Atımlı,110.84,652.2,0.0005859585163397832
3.72,Yanal Atımlı,50.04,625.0,0.0009765984077392304
3.72,Yanal Atımlı,107.33,576.04,0.0005460585993464987
3.72,Yanal Atımlı,83.96,611.0,0.0012908613002176957
3.72,Yanal Atımlı,78.03,805.0,0.0011076774386239434
3.72,Yanal Atımlı,20.39,238.0,0.023072949731635376
3.72,Yanal Atımlı,113.42,743.0,9.149553428320969e-05
3.72,Yanal Atımlı,109.86,559.0,0.000856424754001903
3.72,Yanal Atımlı,143.04,981.0,0.0001183929578557779
3.72,Yanal Atımlı,119.48,622.32,0.0006723047158887479
3.72,Yanal Atımlı,50.82,655.67,0.0021246712462267216
3.72,Yanal Atımlı,253.24,680.05,4.4837361647848995e-05
3.72,Yanal Atımlı,123.81,1188.0,8.538917213476191e-05
3.72,Yanal Atımlı,147.11,698.72,0.0003585037087815411
3.72,Yanal Atımlı,83.8,338.28,0.0006429717855424218
3.72,Yanal Atımlı,226.37,401.0,7.61579423249473e-05
3.72,Yanal Atımlı,50.12,352.0,0.002034311018710111
3.72,Yanal Atımlı,99.29,489.0,0.0008336720940710742
3.72,Yanal Atımlı,66.81,786.0,0.0008415203212259642
3.72,Yanal Atımlı,91.7,408.2,0.0005397436629947682
3.72,Yanal Atımlı,80.28,465.0,0.0009349532011260029
3.72,Yanal Atımlı,67.26,763.0,0.0007167124726795537
3.72,Yanal Atımlı,195.96,462.66,8.110590056617335e-05
3.72,Yanal Atımlı,93.87,704.1,0.0013744076313795008
